model,scenario,dataset,ex,ts,ves,component_f1,bleu,bertscore
codegen-350m-multi,finetuned_bird,bird,0.0,0.0,0.0,0.02685664335664336,16.09839462352603,0.8991850620508194
codegen-350m-multi,finetuned_bird,spider,0.0,0.0,0.0,0.01733766233766234,5.851266901126362,0.8693491032719612
codegen-350m-multi,finetuned_combined,bird,0.0,0.0,0.0,0.00125,6.863695560425984,0.8664737966656685
codegen-350m-multi,finetuned_combined,spider,0.005,0.005,0.004985177722602402,0.044642857142857144,4.95001520777235,0.8571091389656067
codegen-350m-multi,finetuned_spider,bird,0.0,0.0,0.0,0.02333369408369408,10.979272169874399,0.8875261580944062
codegen-350m-multi,finetuned_spider,spider,0.115,0.115,0.11609636097916123,0.28962004498769206,19.934730993762187,0.9029726597666741
codegen-350m-multi,one_shot,bird,0.0,0.0,0.0,0.0025,6.57911469983955,0.8517004698514938
codegen-350m-multi,one_shot,spider,0.01,0.01,0.01028996725441964,0.06538419913419913,6.041317030573969,0.8649355578422546
codegen-350m-multi,zero_shot,bird,0.0,0.0,0.0,0.0031666666666666666,2.1982486675294295,0.8381548556685448
codegen-350m-multi,zero_shot,spider,0.025,0.025,0.025352191714500358,0.054469696969696973,3.446247876940358,0.8312068000435829
codestral-22b,finetuned_bird,bird,0.0,0.0,0.0,0.0,0.0,0.758864015340805
codestral-22b,finetuned_bird,spider,0.0,0.0,0.0,0.0,0.0,0.7644983011484147
codestral-22b,finetuned_combined,bird,0.0,0.0,0.0,0.0,0.0092563380498986,0.7813279512524605
codestral-22b,finetuned_combined,spider,0.0,0.0,0.0,0.0,0.011518988264386137,0.7808238795399666
codestral-22b,finetuned_spider,bird,0.0,0.0,0.0,0.0,0.0092563380498986,0.7813279512524605
codestral-22b,finetuned_spider,spider,0.0,0.0,0.0,0.0,0.011518988264386137,0.7808238795399666
codestral-22b,one_shot,bird,0.395,0.395,0.4410238225177177,0.06897397047397048,32.75182982928517,0.9347474178671837
codestral-22b,one_shot,spider,0.685,0.685,0.6938106360730028,0.41203968253968254,19.339771280668284,0.9231098353862762
codestral-22b,zero_shot,bird,0.33,0.33,0.3788753298725207,0.036927109440267336,25.823316476489826,0.9270430195331574
codestral-22b,zero_shot,spider,0.68,0.68,0.6868454703957609,0.3551364468864469,17.57787063166159,0.9202649441361427
codet5p-770m,finetuned_bird,bird,0.0,0.0,0.0,0.03864033189033189,26.943600266679127,0.9288378441333771
codet5p-770m,finetuned_bird,spider,0.01,0.01,0.00999988092280588,0.056436008436008434,12.145105704113243,0.9010050842165946
codet5p-770m,finetuned_combined,bird,0.0,0.0,0.0,0.022337301587301586,24.43547612196189,0.9237888559699059
codet5p-770m,finetuned_combined,spider,0.25,0.25,0.25086141041212556,0.346512987012987,23.328654386213522,0.9229847636818885
codet5p-770m,finetuned_spider,bird,0.005,0.005,0.005530807318437802,0.01375,9.162903158959184,0.8991087439656258
codet5p-770m,finetuned_spider,spider,0.335,0.335,0.3379907325707658,0.4711892551892552,32.275253005740716,0.9306145700812339
codet5p-770m,one_shot,bird,0.0,0.0,0.0,0.0,2.434873228312119,0.8176258119940758
codet5p-770m,one_shot,spider,0.02,0.02,0.020800419070363865,0.045,4.6821306078397535,0.857525734603405
codet5p-770m,zero_shot,bird,0.0,0.0,0.0,0.00125,1.7732805465551709,0.8147615062531515
codet5p-770m,zero_shot,spider,0.025,0.025,0.025389231814742886,0.039,2.1762404898154686,0.8316905376315117
deepseek-coder-33b,finetuned_bird,bird,0.0,0.0,0.0,0.0,0.5686277274281084,0.8223556903004646
deepseek-coder-33b,finetuned_bird,spider,0.0,0.0,0.0,0.0,0.5411925253973705,0.836214872598648
deepseek-coder-33b,finetuned_combined,bird,0.0,0.0,0.0,0.0,0.03950712654757819,0.8057994958758354
deepseek-coder-33b,finetuned_combined,spider,0.0,0.0,0.0,0.0,0.036964720972525636,0.8041568192839622
deepseek-coder-33b,finetuned_spider,bird,0.0,0.0,0.0,0.0,0.13373885554128923,0.816782386302948
deepseek-coder-33b,finetuned_spider,spider,0.0,0.0,0.0,0.0,0.19268140680699186,0.8316211342811585
deepseek-coder-33b,one_shot,bird,0.085,0.085,0.09134394025878687,0.06480266955266956,26.245225592393535,0.9183732657576326
deepseek-coder-33b,one_shot,spider,0.385,0.385,0.386429410992191,0.28803968253968254,13.634864148765228,0.9058048407636096
deepseek-coder-33b,zero_shot,bird,0.115,0.115,0.1345753877315116,0.03129040404040404,17.22729315498994,0.9116569062573227
deepseek-coder-33b,zero_shot,spider,0.46,0.46,0.462141279154441,0.3123638583638584,15.60990256860787,0.9157485386834072
qwen3-coder-30b,finetuned_bird,bird,0.0,0.0,0.0,0.0,0.37373724572590283,0.7994596764445305
qwen3-coder-30b,finetuned_bird,spider,0.0,0.0,0.0,0.0,0.18031564000609865,0.805241048336029
qwen3-coder-30b,finetuned_combined,bird,0.0,0.0,0.0,0.0,0.0,0.7612953045964241
qwen3-coder-30b,finetuned_combined,spider,0.0,0.0,0.0,0.0,0.0,0.7632497650384903
qwen3-coder-30b,finetuned_spider,bird,0.0,0.0,0.0,0.0,0.0,
qwen3-coder-30b,finetuned_spider,spider,0.04,0.04,0.05099628497980903,0.0,0.0,
qwen3-coder-30b,one_shot,bird,0.24,0.24,0.28188590597286495,0.10230899655899656,30.44985876966356,0.9223100328445435
qwen3-coder-30b,one_shot,spider,0.49,0.49,0.4931522805392143,0.2737104284604285,20.384789315572156,0.9186233228445053
qwen3-coder-30b,zero_shot,bird,0.275,0.275,0.31767298837937047,0.0478968808968809,22.158562145369487,0.9195250895619392
qwen3-coder-30b,zero_shot,spider,0.61,0.61,0.6127146477588442,0.3623878066378067,17.778691709002175,0.9208245292305947
